Dépose Zinguerie et évacuation;ml;10.0
Gouttière 1/2 ronde de 25;ml;37.0
Gouttière Nantaise sur Doubly Zinc;ml;80.0
Fond coude naissance;U;18.00
Tuyaux descente diamètre 80;ml;27.0
Dauphin fonte longueur 1m;ml;77.00
Dauphin fonte longueur 2m;ml;154.00
Canal Zinc et solin contre mar;ml;38.00
Ch�neau Zinc;ml;75.00
Entourage cheminée ggg;U;320.0
Faitage Zinc;ml;50.00
Joint de dilatation;U;45.00
Tuile rabat;m²;99.0
